,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
86,3,1,16.0,1,3,34.375,0
87,3,1,28.0,0,0,8.05,0
88,1,0,23.0,3,2,263.0,1
89,3,1,24.0,0,0,8.05,0
90,3,1,29.0,0,0,8.05,0
91,3,1,20.0,0,0,7.8542,0
92,1,1,46.0,1,0,61.175,0
93,3,1,26.0,1,2,20.575,0
94,3,1,59.0,0,0,7.25,0
95,3,1,28.0,0,0,8.05,0
96,1,1,71.0,0,0,34.6542,0
97,1,1,23.0,0,1,63.3583,1
98,2,0,34.0,0,1,23.0,1
99,2,1,34.0,1,0,26.0,0
100,3,0,28.0,0,0,7.8958,0
101,3,1,28.0,0,0,7.8958,0
102,1,1,21.0,0,1,77.2875,0
103,3,1,33.0,0,0,8.6542,0
104,3,1,37.0,2,0,7.925,0
105,3,1,28.0,0,0,7.8958,0
106,3,0,21.0,0,0,7.65,1
107,3,1,28.0,0,0,7.775,1
108,3,1,38.0,0,0,7.8958,0
109,3,0,28.0,1,0,24.15,1
110,1,1,47.0,0,0,52.0,0
111,3,0,14.5,1,0,14.4542,0
112,3,1,22.0,0,0,8.05,0
113,3,0,20.0,1,0,9.825,0
114,3,0,17.0,0,0,14.4583,0
115,3,1,21.0,0,0,7.925,0
116,3,1,70.5,0,0,7.75,0
117,2,1,29.0,1,0,21.0,0
118,1,1,24.0,0,1,247.5208,0
119,3,0,2.0,4,2,31.275,0
120,2,1,21.0,2,0,73.5,0
121,3,1,28.0,0,0,8.05,0
122,2,1,32.5,1,0,30.0708,0
123,2,0,32.5,0,0,13.0,1
124,1,1,54.0,0,1,77.2875,0
125,3,1,12.0,1,0,11.2417,1
126,3,1,28.0,0,0,7.75,0
127,3,1,24.0,0,0,7.1417,1
128,3,0,28.0,1,1,22.3583,1
129,3,1,45.0,0,0,6.975,0
130,3,1,33.0,0,0,7.8958,0
131,3,1,20.0,0,0,7.05,0
132,3,0,47.0,1,0,14.5,0
133,2,0,29.0,1,0,26.0,1
134,2,1,25.0,0,0,13.0,0
135,2,1,23.0,0,0,15.0458,0
136,1,0,19.0,0,2,26.2833,1
137,1,1,37.0,1,0,53.1,0
138,3,1,16.0,0,0,9.2167,0
139,1,1,24.0,0,0,79.2,0
140,3,0,28.0,0,2,15.2458,0
141,3,0,22.0,0,0,7.75,1
142,3,0,24.0,1,0,15.85,1
143,3,1,19.0,0,0,6.75,0
144,2,1,18.0,0,0,11.5,0
145,2,1,19.0,1,1,36.75,0
146,3,1,27.0,0,0,7.7958,1
147,3,0,9.0,2,2,34.375,0
148,2,1,36.5,0,2,26.0,0
149,2,1,42.0,0,0,13.0,0
150,2,1,51.0,0,0,12.525,0
151,1,0,22.0,1,0,66.6,1
152,3,1,55.5,0,0,8.05,0
153,3,1,40.5,0,2,14.5,0
154,3,1,28.0,0,0,7.3125,0
155,1,1,51.0,0,1,61.3792,0
156,3,0,16.0,0,0,7.7333,1
157,3,1,30.0,0,0,8.05,0
158,3,1,28.0,0,0,8.6625,0
159,3,1,28.0,8,2,69.55,0
160,3,1,44.0,0,1,16.1,0
161,2,0,40.0,0,0,15.75,1
162,3,1,26.0,0,0,7.775,0
163,3,1,17.0,0,0,8.6625,0
164,3,1,1.0,4,1,39.6875,0
165,3,1,9.0,0,2,20.525,1
166,1,0,28.0,0,1,55.0,1
167,3,0,45.0,1,4,27.9,0
168,1,1,28.0,0,0,25.925,0
169,3,1,28.0,0,0,56.4958,0
170,1,1,61.0,0,0,33.5,0
171,3,1,4.0,4,1,29.125,0
172,3,0,1.0,1,1,11.1333,1
173,3,1,21.0,0,0,7.925,0
174,1,1,56.0,0,0,30.6958,0
175,3,1,18.0,1,1,7.8542,0
176,3,1,28.0,3,1,25.4667,0
177,1,0,50.0,0,0,28.7125,0
178,2,1,30.0,0,0,13.0,0
179,3,1,36.0,0,0,0.0,0
180,3,0,28.0,8,2,69.55,0
181,2,1,28.0,0,0,15.05,0
182,3,1,9.0,4,2,31.3875,0
183,2,1,1.0,2,1,39.0,1
184,3,0,4.0,0,2,22.025,1
185,1,1,28.0,0,0,50.0,0
186,3,0,28.0,1,0,15.5,1
187,1,1,45.0,0,0,26.55,1
188,3,1,40.0,1,1,15.5,0
189,3,1,36.0,0,0,7.8958,0
190,2,0,32.0,0,0,13.0,1
191,2,1,19.0,0,0,13.0,0
192,3,0,19.0,1,0,7.8542,1
193,2,1,3.0,1,1,26.0,1
194,1,0,44.0,0,0,27.7208,1
195,1,0,58.0,0,0,146.5208,1
196,3,1,28.0,0,0,7.75,0
197,3,1,42.0,0,1,8.4042,0
198,3,0,28.0,0,0,7.75,1
199,2,0,24.0,0,0,13.0,0
200,3,1,28.0,0,0,9.5,0
201,3,1,28.0,8,2,69.55,0
202,3,1,34.0,0,0,6.4958,0
203,3,1,45.5,0,0,7.225,0
204,3,1,18.0,0,0,8.05,1
205,3,0,2.0,0,1,10.4625,0
206,3,1,32.0,1,0,15.85,0
207,3,1,26.0,0,0,18.7875,1
208,3,0,16.0,0,0,7.75,1
209,1,1,40.0,0,0,31.0,1
210,3,1,24.0,0,0,7.05,0
211,2,0,35.0,0,0,21.0,1
212,3,1,22.0,0,0,7.25,0
213,2,1,30.0,0,0,13.0,0
214,3,1,28.0,1,0,7.75,0
215,1,0,31.0,1,0,113.275,1
216,3,0,27.0,0,0,7.925,1
217,2,1,42.0,1,0,27.0,0
218,1,0,32.0,0,0,76.2917,1
219,2,1,30.0,0,0,10.5,0
220,3,1,16.0,0,0,8.05,1
221,2,1,27.0,0,0,13.0,0
222,3,1,51.0,0,0,8.05,0
223,3,1,28.0,0,0,7.8958,0
224,1,1,38.0,1,0,90.0,1
225,3,1,22.0,0,0,9.35,0
226,2,1,19.0,0,0,10.5,1
227,3,1,20.5,0,0,7.25,0
228,2,1,18.0,0,0,13.0,0
229,3,0,28.0,3,1,25.4667,0
230,1,0,35.0,1,0,83.475,1
231,3,1,29.0,0,0,7.775,0
232,2,1,59.0,0,0,13.5,0
233,3,0,5.0,4,2,31.3875,1
234,2,1,24.0,0,0,10.5,0
235,3,0,28.0,0,0,7.55,0
236,2,1,44.0,1,0,26.0,0
237,2,0,8.0,0,2,26.25,1
238,2,1,19.0,0,0,10.5,0
239,2,1,33.0,0,0,12.275,0
240,3,0,28.0,1,0,14.4542,0
241,3,0,28.0,1,0,15.5,1
242,2,1,29.0,0,0,10.5,0
243,3,1,22.0,0,0,7.125,0
244,3,1,30.0,0,0,7.225,0
245,1,1,44.0,2,0,90.0,0
246,3,0,25.0,0,0,7.775,0
247,2,0,24.0,0,2,14.5,1
248,1,1,37.0,1,1,52.5542,1
249,2,1,54.0,1,0,26.0,0
250,3,1,28.0,0,0,7.25,0
251,3,0,29.0,1,1,10.4625,0
252,1,1,62.0,0,0,26.55,0
253,3,1,30.0,1,0,16.1,0
254,3,0,41.0,0,2,20.2125,0
255,3,0,29.0,0,2,15.2458,1
256,1,0,28.0,0,0,79.2,1
257,1,0,30.0,0,0,86.5,1
258,1,0,35.0,0,0,512.3292,1
259,2,0,50.0,0,1,26.0,1
260,3,1,28.0,0,0,7.75,0
261,3,1,3.0,4,2,31.3875,1
262,1,1,52.0,1,1,79.65,0
263,1,1,40.0,0,0,0.0,0
264,3,0,28.0,0,0,7.75,0
265,2,1,36.0,0,0,10.5,0
266,3,1,16.0,4,1,39.6875,0
267,3,1,25.0,1,0,7.775,1
268,1,0,58.0,0,1,153.4625,1
269,1,0,35.0,0,0,135.6333,1
270,1,1,28.0,0,0,31.0,0
271,3,1,25.0,0,0,0.0,1
272,2,0,41.0,0,1,19.5,1
273,1,1,37.0,0,1,29.7,0
274,3,0,28.0,0,0,7.75,1
275,1,0,63.0,1,0,77.9583,1
276,3,0,45.0,0,0,7.75,0
277,2,1,28.0,0,0,0.0,0
278,3,1,7.0,4,1,29.125,0
279,3,0,35.0,1,1,20.25,1
280,3,1,65.0,0,0,7.75,0
281,3,1,28.0,0,0,7.8542,0
282,3,1,16.0,0,0,9.5,0
283,3,1,19.0,0,0,8.05,1
284,1,1,28.0,0,0,26.0,0
285,3,1,33.0,0,0,8.6625,0
286,3,1,30.0,0,0,9.5,1
287,3,1,22.0,0,0,7.8958,0
288,2,1,42.0,0,0,13.0,1
289,3,0,22.0,0,0,7.75,1
290,1,0,26.0,0,0,78.85,1
291,1,0,19.0,1,0,91.0792,1
292,2,1,36.0,0,0,12.875,0
293,3,0,24.0,0,0,8.85,0
294,3,1,24.0,0,0,7.8958,0
295,1,1,28.0,0,0,27.7208,0
296,3,1,23.5,0,0,7.2292,0
297,1,0,2.0,1,2,151.55,0
298,1,1,28.0,0,0,30.5,1
299,1,0,50.0,0,1,247.5208,1
300,3,0,28.0,0,0,7.75,1
301,3,1,28.0,2,0,23.25,1
302,3,1,19.0,0,0,0.0,0
303,2,0,28.0,0,0,12.35,1
304,3,1,28.0,0,0,8.05,0
305,1,1,0.92,1,2,151.55,1
306,1,0,28.0,0,0,110.8833,1
307,1,0,17.0,1,0,108.9,1
308,2,1,30.0,1,0,24.0,0
309,1,0,30.0,0,0,56.9292,1
310,1,0,24.0,0,0,83.1583,1
311,1,0,18.0,2,2,262.375,1
312,2,0,26.0,1,1,26.0,0
313,3,1,28.0,0,0,7.8958,0
314,2,1,43.0,1,1,26.25,0
315,3,0,26.0,0,0,7.8542,1
316,2,0,24.0,1,0,26.0,1
317,2,1,54.0,0,0,14.0,0
318,1,0,31.0,0,2,164.8667,1
319,1,0,40.0,1,1,134.5,1
320,3,1,22.0,0,0,7.25,0
321,3,1,27.0,0,0,7.8958,0
322,2,0,30.0,0,0,12.35,1
323,2,0,22.0,1,1,29.0,1
324,3,1,28.0,8,2,69.55,0
325,1,0,36.0,0,0,135.6333,1
326,3,1,61.0,0,0,6.2375,0
327,2,0,36.0,0,0,13.0,1
328,3,0,31.0,1,1,20.525,1
329,1,0,16.0,0,1,57.9792,1
330,3,0,28.0,2,0,23.25,1
331,1,1,45.5,0,0,28.5,0
332,1,1,38.0,0,1,153.4625,0
333,3,1,16.0,2,0,18.0,0
334,1,0,28.0,1,0,133.65,1
335,3,1,28.0,0,0,7.8958,0
336,1,1,29.0,1,0,66.6,0
337,1,0,41.0,0,0,134.5,1
338,3,1,45.0,0,0,8.05,1
339,1,1,45.0,0,0,35.5,0
340,2,1,2.0,1,1,26.0,1
341,1,0,24.0,3,2,263.0,1
342,2,1,28.0,0,0,13.0,0
343,2,1,25.0,0,0,13.0,0
344,2,1,36.0,0,0,13.0,0
345,2,0,24.0,0,0,13.0,1
346,2,0,40.0,0,0,13.0,1
347,3,0,28.0,1,0,16.1,1
348,3,1,3.0,1,1,15.9,1
349,3,1,42.0,0,0,8.6625,0
350,3,1,23.0,0,0,9.225,0
351,1,1,28.0,0,0,35.0,0
352,3,1,15.0,1,1,7.2292,0
353,3,1,25.0,1,0,17.8,0
354,3,1,28.0,0,0,7.225,0
355,3,1,28.0,0,0,9.5,0
356,1,0,22.0,0,1,55.0,1
357,2,0,38.0,0,0,13.0,0
358,3,0,28.0,0,0,7.8792,1
359,3,0,28.0,0,0,7.8792,1
360,3,1,40.0,1,4,27.9,0
361,2,1,29.0,1,0,27.7208,0
362,3,0,45.0,0,1,14.4542,0
363,3,1,35.0,0,0,7.05,0
364,3,1,28.0,1,0,15.5,0
365,3,1,30.0,0,0,7.25,0
366,1,0,60.0,1,0,75.25,1
367,3,0,28.0,0,0,7.2292,1
368,3,0,28.0,0,0,7.75,1
369,1,0,24.0,0,0,69.3,1
370,1,1,25.0,1,0,55.4417,1
371,3,1,18.0,1,0,6.4958,0
372,3,1,19.0,0,0,8.05,0
373,1,1,22.0,0,0,135.6333,0
374,3,0,3.0,3,1,21.075,0
375,1,0,28.0,1,0,82.1708,1
376,3,0,22.0,0,0,7.25,1
377,1,1,27.0,0,2,211.5,0
378,3,1,20.0,0,0,4.0125,0
379,3,1,19.0,0,0,7.775,0
380,1,0,42.0,0,0,227.525,1
381,3,0,1.0,0,2,15.7417,1
382,3,1,32.0,0,0,7.925,0
383,1,0,35.0,1,0,52.0,1
384,3,1,28.0,0,0,7.8958,0
385,2,1,18.0,0,0,73.5,0
386,3,1,1.0,5,2,46.9,0
387,2,0,36.0,0,0,13.0,1
388,3,1,28.0,0,0,7.7292,0
389,2,0,17.0,0,0,12.0,1
390,1,1,36.0,1,2,120.0,1
391,3,1,21.0,0,0,7.7958,1
392,3,1,28.0,2,0,7.925,0
393,1,0,23.0,1,0,113.275,1
394,3,0,24.0,0,2,16.7,1
395,3,1,22.0,0,0,7.7958,0
396,3,0,31.0,0,0,7.8542,0
397,2,1,46.0,0,0,26.0,0
398,2,1,23.0,0,0,10.5,0
399,2,0,28.0,0,0,12.65,1
400,3,1,39.0,0,0,7.925,1
401,3,1,26.0,0,0,8.05,0
402,3,0,21.0,1,0,9.825,0
403,3,1,28.0,1,0,15.85,0
404,3,0,20.0,0,0,8.6625,0
405,2,1,34.0,1,0,21.0,0
406,3,1,51.0,0,0,7.75,0
407,2,1,3.0,1,1,18.75,1
408,3,1,21.0,0,0,7.775,0
409,3,0,28.0,3,1,25.4667,0
410,3,1,28.0,0,0,7.8958,0
411,3,1,28.0,0,0,6.8583,0
412,1,0,33.0,1,0,90.0,1
413,2,1,28.0,0,0,0.0,0
414,3,1,44.0,0,0,7.925,1
415,3,0,28.0,0,0,8.05,0
416,2,0,34.0,1,1,32.5,1
417,2,0,18.0,0,2,13.0,1
418,2,1,30.0,0,0,13.0,0
419,3,0,10.0,0,2,24.15,0
420,3,1,28.0,0,0,7.8958,0
421,3,1,21.0,0,0,7.7333,0
422,3,1,29.0,0,0,7.875,0
423,3,0,28.0,1,1,14.4,0
424,3,1,18.0,1,1,20.2125,0
425,3,1,28.0,0,0,7.25,0
426,2,0,28.0,1,0,26.0,1
427,2,0,19.0,0,0,26.0,1
428,3,1,28.0,0,0,7.75,0
429,3,1,32.0,0,0,8.05,1
430,1,1,28.0,0,0,26.55,1
431,3,0,28.0,1,0,16.1,1
432,2,0,42.0,1,0,26.0,1
433,3,1,17.0,0,0,7.125,0
434,1,1,50.0,1,0,55.9,0
435,1,0,14.0,1,2,120.0,1
436,3,0,21.0,2,2,34.375,0
437,2,0,24.0,2,3,18.75,1
438,1,1,64.0,1,4,263.0,0
439,2,1,31.0,0,0,10.5,0
440,2,0,45.0,1,1,26.25,1
441,3,1,20.0,0,0,9.5,0
442,3,1,25.0,1,0,7.775,0
443,2,0,28.0,0,0,13.0,1
444,3,1,28.0,0,0,8.1125,1
445,1,1,4.0,0,2,81.8583,1
446,2,0,13.0,0,1,19.5,1
447,1,1,34.0,0,0,26.55,1
448,3,0,5.0,2,1,19.2583,1
449,1,1,52.0,0,0,30.5,1
450,2,1,36.0,1,2,27.75,0
451,3,1,28.0,1,0,19.9667,0
452,1,1,30.0,0,0,27.75,0
453,1,1,49.0,1,0,89.1042,1
454,3,1,28.0,0,0,8.05,0
455,3,1,29.0,0,0,7.8958,1
456,1,1,65.0,0,0,26.55,0
457,1,0,28.0,1,0,51.8625,1
458,2,0,50.0,0,0,10.5,1
459,3,1,28.0,0,0,7.75,0
460,1,1,48.0,0,0,26.55,1
461,3,1,34.0,0,0,8.05,0
462,1,1,47.0,0,0,38.5,0
463,2,1,48.0,0,0,13.0,0
464,3,1,28.0,0,0,8.05,0
465,3,1,38.0,0,0,7.05,0
466,2,1,28.0,0,0,0.0,0
467,1,1,56.0,0,0,26.55,0
468,3,1,28.0,0,0,7.725,0
469,3,0,0.75,2,1,19.2583,1
470,3,1,28.0,0,0,7.25,0
471,3,1,38.0,0,0,8.6625,0
472,2,0,33.0,1,2,27.75,1
473,2,0,23.0,0,0,13.7917,1
474,3,0,22.0,0,0,9.8375,0
475,1,1,28.0,0,0,52.0,0
476,2,1,34.0,1,0,21.0,0
477,3,1,29.0,1,0,7.0458,0
478,3,1,22.0,0,0,7.5208,0
479,3,0,2.0,0,1,12.2875,1
480,3,1,9.0,5,2,46.9,0
481,2,1,28.0,0,0,0.0,0
482,3,1,50.0,0,0,8.05,0
483,3,0,63.0,0,0,9.5875,1
484,1,1,25.0,1,0,91.0792,1
485,3,0,28.0,3,1,25.4667,0
486,1,0,35.0,1,0,90.0,1
487,1,1,58.0,0,0,29.7,0
488,3,1,30.0,0,0,8.05,0
489,3,1,9.0,1,1,15.9,1
490,3,1,28.0,1,0,19.9667,0
491,3,1,21.0,0,0,7.25,0
492,1,1,55.0,0,0,30.5,0
493,1,1,71.0,0,0,49.5042,0
494,3,1,21.0,0,0,8.05,0
495,3,1,28.0,0,0,14.4583,0
496,1,0,54.0,1,0,78.2667,1
497,3,1,28.0,0,0,15.1,0
498,1,0,25.0,1,2,151.55,0
499,3,1,24.0,0,0,7.7958,0
500,3,1,17.0,0,0,8.6625,0
501,3,0,21.0,0,0,7.75,0
502,3,0,28.0,0,0,7.6292,0
503,3,0,37.0,0,0,9.5875,0
504,1,0,16.0,0,0,86.5,1
505,1,1,18.0,1,0,108.9,0
506,2,0,33.0,0,2,26.0,1
507,1,1,28.0,0,0,26.55,1
508,3,1,28.0,0,0,22.525,0
509,3,1,26.0,0,0,56.4958,1
510,3,1,29.0,0,0,7.75,1
511,3,1,28.0,0,0,8.05,0
512,1,1,36.0,0,0,26.2875,1
513,1,0,54.0,1,0,59.4,1
514,3,1,24.0,0,0,7.4958,0
515,1,1,47.0,0,0,34.0208,0
516,2,0,34.0,0,0,10.5,1
517,3,1,28.0,0,0,24.15,0
518,2,0,36.0,1,0,26.0,1
519,3,1,32.0,0,0,7.8958,0
520,1,0,30.0,0,0,93.5,1
521,3,1,22.0,0,0,7.8958,0
522,3,1,28.0,0,0,7.225,0
523,1,0,44.0,0,1,57.9792,1
524,3,1,28.0,0,0,7.2292,0
525,3,1,40.5,0,0,7.75,0
526,2,0,50.0,0,0,10.5,1
527,1,1,28.0,0,0,221.7792,0
528,3,1,39.0,0,0,7.925,0
529,2,1,23.0,2,1,11.5,0
530,2,0,2.0,1,1,26.0,1
531,3,1,28.0,0,0,7.2292,0
532,3,1,17.0,1,1,7.2292,0
533,3,0,28.0,0,2,22.3583,1
534,3,0,30.0,0,0,8.6625,0
535,2,0,7.0,0,2,26.25,1
536,1,1,45.0,0,0,26.55,0
537,1,0,30.0,0,0,106.425,1
538,3,1,28.0,0,0,14.5,0
539,1,0,22.0,0,2,49.5,1
540,1,0,36.0,0,2,71.0,1
541,3,0,9.0,4,2,31.275,0
542,3,0,11.0,4,2,31.275,0
543,2,1,32.0,1,0,26.0,1
544,1,1,50.0,1,0,106.425,0
545,1,1,64.0,0,0,26.0,0
546,2,0,19.0,1,0,26.0,1
547,2,1,28.0,0,0,13.8625,1
548,3,1,33.0,1,1,20.525,0
549,2,1,8.0,1,1,36.75,1
550,1,1,17.0,0,2,110.8833,1
551,2,1,27.0,0,0,26.0,0
552,3,1,28.0,0,0,7.8292,0
553,3,1,22.0,0,0,7.225,1
554,3,0,22.0,0,0,7.775,1
555,1,1,62.0,0,0,26.55,0
556,1,0,48.0,1,0,39.6,1
557,1,1,28.0,0,0,227.525,0
558,1,0,39.0,1,1,79.65,1
559,3,0,36.0,1,0,17.4,1
560,3,1,28.0,0,0,7.75,0
561,3,1,40.0,0,0,7.8958,0
562,2,1,28.0,0,0,13.5,0
563,3,1,28.0,0,0,8.05,0
564,3,0,28.0,0,0,8.05,0
565,3,1,24.0,2,0,24.15,0
566,3,1,19.0,0,0,7.8958,0
567,3,0,29.0,0,4,21.075,0
568,3,1,28.0,0,0,7.2292,0
569,3,1,32.0,0,0,7.8542,1
570,2,1,62.0,0,0,10.5,1
571,1,0,53.0,2,0,51.4792,1
572,1,1,36.0,0,0,26.3875,1
573,3,0,28.0,0,0,7.75,1
574,3,1,16.0,0,0,8.05,0
575,3,1,19.0,0,0,14.5,0
576,2,0,34.0,0,0,13.0,1
577,1,0,39.0,1,0,55.9,1
578,3,0,28.0,1,0,14.4583,0
579,3,1,32.0,0,0,7.925,1
580,2,0,25.0,1,1,30.0,1
581,1,0,39.0,1,1,110.8833,1
582,2,1,54.0,0,0,26.0,0
583,1,1,36.0,0,0,40.125,0
584,3,1,28.0,0,0,8.7125,0
585,1,0,18.0,0,2,79.65,1
586,2,1,47.0,0,0,15.0,0
587,1,1,60.0,1,1,79.2,1
588,3,1,22.0,0,0,8.05,0
589,3,1,28.0,0,0,8.05,0
590,3,1,35.0,0,0,7.125,0
591,1,0,52.0,1,0,78.2667,1
592,3,1,47.0,0,0,7.25,0
593,3,0,28.0,0,2,7.75,0
594,2,1,37.0,1,0,26.0,0
595,3,1,36.0,1,1,24.15,0
596,2,0,28.0,0,0,33.0,1
597,3,1,49.0,0,0,0.0,0
598,3,1,28.0,0,0,7.225,0
599,1,1,49.0,1,0,56.9292,1
600,2,0,24.0,2,1,27.0,1
601,3,1,28.0,0,0,7.8958,0
602,1,1,28.0,0,0,42.4,0
603,3,1,44.0,0,0,8.05,0
604,1,1,35.0,0,0,26.55,1
605,3,1,36.0,1,0,15.55,0
606,3,1,30.0,0,0,7.8958,0
607,1,1,27.0,0,0,30.5,1
608,2,0,22.0,1,2,41.5792,1
609,1,0,40.0,0,0,153.4625,1
610,3,0,39.0,1,5,31.275,0
611,3,1,28.0,0,0,7.05,0
612,3,0,28.0,1,0,15.5,1
613,3,1,28.0,0,0,7.75,0
614,3,1,35.0,0,0,8.05,0
615,2,0,24.0,1,2,65.0,1
616,3,1,34.0,1,1,14.4,0
617,3,0,26.0,1,0,16.1,0
618,2,0,4.0,2,1,39.0,1
619,2,1,26.0,0,0,10.5,0
620,3,1,27.0,1,0,14.4542,0
621,1,1,42.0,1,0,52.5542,1
622,3,1,20.0,1,1,15.7417,1
623,3,1,21.0,0,0,7.8542,0
624,3,1,21.0,0,0,16.1,0
625,1,1,61.0,0,0,32.3208,0
626,2,1,57.0,0,0,12.35,0
627,1,0,21.0,0,0,77.9583,1
628,3,1,26.0,0,0,7.8958,0
629,3,1,28.0,0,0,7.7333,0
630,1,1,80.0,0,0,30.0,1
631,3,1,51.0,0,0,7.0542,0
632,1,1,32.0,0,0,30.5,1
633,1,1,28.0,0,0,0.0,0
634,3,0,9.0,3,2,27.9,0
635,2,0,28.0,0,0,13.0,1
636,3,1,32.0,0,0,7.925,0
637,2,1,31.0,1,1,26.25,0
638,3,0,41.0,0,5,39.6875,0
639,3,1,28.0,1,0,16.1,0
640,3,1,20.0,0,0,7.8542,0
641,1,0,24.0,0,0,69.3,1
642,3,0,2.0,3,2,27.9,0
643,3,1,28.0,0,0,56.4958,1
644,3,0,0.75,2,1,19.2583,1
645,1,1,48.0,1,0,76.7292,1
646,3,1,19.0,0,0,7.8958,0
647,1,1,56.0,0,0,35.5,1
648,3,1,28.0,0,0,7.55,0
649,3,0,23.0,0,0,7.55,1
650,3,1,28.0,0,0,7.8958,0
651,2,0,18.0,0,1,23.0,1
652,3,1,21.0,0,0,8.4333,0
653,3,0,28.0,0,0,7.8292,1
654,3,0,18.0,0,0,6.75,0
655,2,1,24.0,2,0,73.5,0
656,3,1,28.0,0,0,7.8958,0
657,3,0,32.0,1,1,15.5,0
658,2,1,23.0,0,0,13.0,0
659,1,1,58.0,0,2,113.275,0
660,1,1,50.0,2,0,133.65,1
661,3,1,40.0,0,0,7.225,0
662,1,1,47.0,0,0,25.5875,0
663,3,1,36.0,0,0,7.4958,0
664,3,1,20.0,1,0,7.925,1
665,2,1,32.0,2,0,73.5,0
666,2,1,25.0,0,0,13.0,0
667,3,1,28.0,0,0,7.775,0
668,3,1,43.0,0,0,8.05,0
669,1,0,28.0,1,0,52.0,1
670,2,0,40.0,1,1,39.0,1
671,1,1,31.0,1,0,52.0,0
672,2,1,70.0,0,0,10.5,0
673,2,1,31.0,0,0,13.0,1
674,2,1,28.0,0,0,0.0,0
675,3,1,18.0,0,0,7.775,0
676,3,1,24.5,0,0,8.05,0
677,3,0,18.0,0,0,9.8417,1
678,3,0,43.0,1,6,46.9,0
679,1,1,36.0,0,1,512.3292,1
680,3,0,28.0,0,0,8.1375,0
681,1,1,27.0,0,0,76.7292,1
682,3,1,20.0,0,0,9.225,0
683,3,1,14.0,5,2,46.9,0
684,2,1,60.0,1,1,39.0,0
685,2,1,25.0,1,2,41.5792,0
